time_step,date,ndvi
1,"Feb 18, 2000",5475.32
2,"Mar 5, 2000",4495.3
3,"Mar 21, 2000",5412.86
4,"Apr 6, 2000",5313.11
5,"Apr 22, 2000",5243.54
6,"May 8, 2000",5178.12
7,"May 24, 2000",5031.26
8,"Jun 9, 2000",4781.91
9,"Jun 25, 2000",4606.45
10,"Jul 11, 2000",4204.16
11,"Jul 27, 2000",3981.37
12,"Aug 12, 2000",3635
13,"Aug 28, 2000",3536.63
14,"Sep 13, 2000",3607.2
15,"Sep 29, 2000",3759.75
16,"Oct 15, 2000",3872.42
17,"Oct 31, 2000",4096.62
18,"Nov 16, 2000",4218.18
19,"Dec 2, 2000",4713.45
20,"Dec 18, 2000",6338.92
21,"Jan 1, 2001",6148.46
22,"Jan 17, 2001",5749.72
23,"Feb 2, 2001",4490.6
24,"Feb 18, 2001",5843.13
25,"Mar 6, 2001",6072.49
26,"Mar 22, 2001",5736.89
27,"Apr 7, 2001",5591.19
28,"Apr 23, 2001",5324.87
29,"May 9, 2001",5150.27
30,"May 25, 2001",4965.19
31,"Jun 10, 2001",5140.05
32,"Jun 26, 2001",4441.59
33,"Jul 12, 2001",4262.27
34,"Jul 28, 2001",3816.84
35,"Aug 13, 2001",3629.74
36,"Aug 29, 2001",3723.27
37,"Sep 14, 2001",3828.23
38,"Sep 30, 2001",4094.22
39,"Oct 16, 2001",4237.27
40,"Nov 1, 2001",4989.86
41,"Nov 17, 2001",5662.17
42,"Dec 3, 2001",5618.82
43,"Dec 19, 2001",5702.65
44,"Jan 1, 2002",5697.5
45,"Jan 17, 2002",5742.44
46,"Feb 2, 2002",5545.05
47,"Feb 18, 2002",5813
48,"Mar 6, 2002",5707.05
49,"Mar 22, 2002",5450.52
50,"Apr 7, 2002",5263.49
51,"Apr 23, 2002",5056.35
52,"May 9, 2002",4913.5
53,"May 25, 2002",4677.87
54,"Jun 10, 2002",4396.41
55,"Jun 26, 2002",4147.85
56,"Jul 12, 2002",3958.54
57,"Jul 28, 2002",3590.56
58,"Aug 13, 2002",3543.76
59,"Aug 29, 2002",3674.51
60,"Sep 14, 2002",3523.19
61,"Sep 30, 2002",4142.83
62,"Oct 16, 2002",4104.74
63,"Nov 1, 2002",4442.19
64,"Nov 17, 2002",4624.99
65,"Dec 3, 2002",5261.55
66,"Dec 19, 2002",5734.23
67,"Jan 1, 2003",5687.3
68,"Jan 17, 2003",5934.6
69,"Feb 2, 2003",5767.27
70,"Feb 18, 2003",5898.71
71,"Mar 6, 2003",5609.04
72,"Mar 22, 2003",5673.54
73,"Apr 7, 2003",5250.08
74,"Apr 23, 2003",5042.92
75,"May 9, 2003",4841.88
76,"May 25, 2003",4714.15
77,"Jun 10, 2003",4540.18
78,"Jun 26, 2003",4248.92
79,"Jul 12, 2003",4014.59
80,"Jul 28, 2003",3690.72
81,"Aug 13, 2003",3477.13
82,"Aug 29, 2003",3379.61
83,"Sep 14, 2003",3496.14
84,"Sep 30, 2003",3577.65
85,"Oct 16, 2003",3948.41
86,"Nov 1, 2003",4359.64
87,"Nov 17, 2003",4904.02
88,"Dec 3, 2003",5594.49
89,"Dec 19, 2003",6283.72
90,"Jan 1, 2004",6189.5
91,"Jan 17, 2004",5700.86
92,"Feb 2, 2004",5871.13
93,"Feb 18, 2004",5098.05
94,"Mar 5, 2004",5810.36
95,"Mar 21, 2004",5811.72
96,"Apr 6, 2004",5595.63
97,"Apr 22, 2004",5342.45
98,"May 8, 2004",5175.89
99,"May 24, 2004",5020.65
100,"Jun 9, 2004",4794.26
101,"Jun 25, 2004",4533.42
102,"Jul 11, 2004",4257.45
103,"Jul 27, 2004",3828.89
104,"Aug 12, 2004",3703.16
105,"Aug 28, 2004",3590.58
106,"Sep 13, 2004",3723.6
107,"Sep 29, 2004",4062.21
108,"Oct 15, 2004",4198.32
109,"Oct 31, 2004",4494.8
110,"Nov 16, 2004",5077.83
111,"Dec 2, 2004",5437.8
112,"Dec 18, 2004",5529.85
113,"Jan 1, 2005",5477.74
114,"Jan 17, 2005",5949.56
115,"Feb 2, 2005",5928.24
116,"Feb 18, 2005",5874.99
117,"Mar 6, 2005",6165.45
118,"Mar 22, 2005",6046.39
119,"Apr 7, 2005",5809.51
120,"Apr 23, 2005",5373.83
121,"May 9, 2005",5112.61
122,"May 25, 2005",4810.47
123,"Jun 10, 2005",4434.04
124,"Jun 26, 2005",4224.92
125,"Jul 12, 2005",3968.87
126,"Jul 28, 2005",3677.13
127,"Aug 13, 2005",3512.46
128,"Aug 29, 2005",3369.46
129,"Sep 14, 2005",3265.15
130,"Sep 30, 2005",3325.13
131,"Oct 16, 2005",3361.91
132,"Nov 1, 2005",3937.52
133,"Nov 17, 2005",3913.33
134,"Dec 3, 2005",5446.21
135,"Dec 19, 2005",5665.12
136,"Jan 1, 2006",5772.84
137,"Jan 17, 2006",6365.91
138,"Feb 2, 2006",5978.96
139,"Feb 18, 2006",6064.45
